# redshift      Ob
1.908960536800556795e+01 1.577287635569938340e-01
1.908266149375280207e+01 1.577287172674722848e-01
1.907572349041635462e+01 1.577286709531308118e-01
1.906879150614386020e+01 1.577286246150121640e-01
1.906186543320302818e+01 1.577285782524510682e-01
1.905494556271133533e+01 1.577285318674536974e-01
1.904803134471271875e+01 1.577284854563877903e-01
1.904112332323513002e+01 1.577284390229592159e-01
1.903422101047801362e+01 1.577283925639444417e-01
1.902732483468071933e+01 1.577283460822804795e-01
1.902043446526646164e+01 1.577282995757952611e-01
1.901354998136179830e+01 1.577282530450757614e-01
1.900667174725057151e+01 1.577282064926432414e-01
1.899979900550432532e+01 1.577281599134253420e-01
1.899293245111995176e+01 1.577281133121855305e-01
1.898607170505752606e+01 1.577280666864093739e-01
1.897921665384301804e+01 1.577280200353768091e-01
1.897236763333788545e+01 1.577279733614279367e-01
1.896552440984852339e+01 1.577279266630263743e-01
1.895868716199957404e+01 1.577278799414465471e-01
1.895185581588598112e+01 1.577278331962407576e-01
1.894503036260119089e+01 1.577277864274042596e-01
1.893821030200882660e+01 1.577277396315593105e-01
1.893139636051450481e+01 1.577276928137428258e-01
1.892458816080359441e+01 1.577276459714201384e-01
1.891778586050059729e+01 1.577275991057305871e-01
1.891098939068047358e+01 1.577275522162556176e-01
1.890419880413858422e+01 1.577275053034157826e-01
1.889741371853525109e+01 1.577274583646215700e-01
1.889063451145757000e+01 1.577274114025369045e-01
1.888386115439114832e+01 1.577273644170215372e-01
1.887709348085124361e+01 1.577273174069750705e-01
1.887033174600029994e+01 1.577272703742258475e-01
1.886357541754415834e+01 1.577272233151236214e-01
1.885682514003360666e+01 1.577271762342119799e-01
1.885008056640273466e+01 1.577271291291285626e-01
1.884334132972751519e+01 1.577270819973592697e-01
1.883660834747047730e+01 1.577270348453769788e-01
1.882988067170855473e+01 1.577269876665996218e-01
1.882315909240730534e+01 1.577269404666211128e-01
1.881644288136088861e+01 1.577268932403831925e-01
1.880973248919611507e+01 1.577268459911060350e-01
1.880302756459064639e+01 1.577267987163691043e-01
1.879632861410598110e+01 1.577267514197994991e-01
1.878963500879818938e+01 1.577267040970107281e-01
1.878294741976838722e+01 1.577266567528021191e-01
1.877626520796224341e+01 1.577266093827050797e-01
1.876958873495069469e+01 1.577265619893343518e-01
1.876291787179428283e+01 1.577265145718298456e-01
1.875625260105553238e+01 1.577264671301209231e-01
1.874959322075471846e+01 1.577264196663862028e-01
1.874293916309632024e+01 1.577263721766328231e-01
1.873629064823926171e+01 1.577263246624807935e-01
1.872964760585926669e+01 1.577262771234790306e-01
1.872301052651728170e+01 1.577262295631955413e-01
1.871637884003885688e+01 1.577261819776013541e-01
1.870975283262036015e+01 1.577261343688026451e-01
1.870313248148917751e+01 1.577260867366925556e-01
1.869651745291739786e+01 1.577260390789216871e-01
1.868990790309530325e+01 1.577259913966647942e-01
1.868330408933351805e+01 1.577259436918335422e-01
