# redshift     age[Myr]
1.819707585701579333e+01 2.064078542346188101e+02
1.819087736008289369e+01 2.065078535763898628e+02
1.818468393442580933e+01 2.066078517692925516e+02
1.817849538640994211e+01 2.067078518364443767e+02
1.817231169654944978e+01 2.068078539934501237e+02
1.816613323501937316e+01 2.069078521475962020e+02
1.815995957961682095e+01 2.070078530268153827e+02
1.815379108189854307e+01 2.071078508324158065e+02
1.814762748139753157e+01 2.072078496807332044e+02
1.814146849644358994e+01 2.073078540459684973e+02
1.813531499167482508e+01 2.074078497816531410e+02
1.812916610356813507e+01 2.075078508128380577e+02
1.812302212902061171e+01 2.076078522145768375e+02
1.811688305318219960e+01 2.077078541264714886e+02
1.811074911762591100e+01 2.078078525067425062e+02
1.810462001886154226e+01 2.079078521974005582e+02
1.809849579221874549e+01 2.080078525215007232e+02
1.809237637324645220e+01 2.081078544313450038e+02
1.808626201567841463e+01 2.082078536765230865e+02
1.808015261079185976e+01 2.083078519282195771e+02
1.807404789775089071e+01 2.084078533559294613e+02
1.806794815004529653e+01 2.085078533793694930e+02
1.806185340504381287e+01 2.086078512794123867e+02
1.805576343004707240e+01 2.087078507712042779e+02
1.804967803349094879e+01 2.088078549056874351e+02
1.804359793833240033e+01 2.089078516969668726e+02
1.803752240870704782e+01 2.090078531423969537e+02
1.803145176604902389e+01 2.091078538541761986e+02
1.802538600639178057e+01 2.092078537941590639e+02
1.801932517528103617e+01 2.093078521070278555e+02
1.801326895564083941e+01 2.094078539250066910e+02
1.800721786288380954e+01 2.095078506341699551e+02
1.800117107317704424e+01 2.096078557513202725e+02
1.799512964396054215e+01 2.097078516858169905e+02
1.798909281067117405e+01 2.098078509844395967e+02
1.798306055739202591e+01 2.099078538180675935e+02
1.797703324236352884e+01 2.100078541480994829e+02
1.797101066778540002e+01 2.101078551532824576e+02
1.796499318992336924e+01 2.102078508117779165e+02
1.795897998083730585e+01 2.103078547848179483e+02
1.795297185018068831e+01 2.104078535104085574e+02
1.794696841365240658e+01 2.105078532793893373e+02
1.794096973404236195e+01 2.106078529466487055e+02
1.793497570283360787e+01 2.107078542227430660e+02
1.792898661509491021e+01 2.108078520826118449e+02
1.792300219967891906e+01 2.109078509506103103e+02
1.791702221880047929e+01 2.110078547071350101e+02
1.791104741532790712e+01 2.111078508260171418e+02
1.790507685847959607e+01 2.112078547855691397e+02
1.789911130884356538e+01 2.113078537500067000e+02
1.789315058612464071e+01 2.114078506336217060e+02
1.788719428929150723e+01 2.115078520675423874e+02
1.788124271378759289e+01 2.116078529969065585e+02
1.787529578039825751e+01 2.117078546536775718e+02
1.786935374847727331e+01 2.118078525738938538e+02
1.786341624598379951e+01 2.119078529179400903e+02
1.785748341758487001e+01 2.120078531530313057e+02
1.785155533232642000e+01 2.121078520147025586e+02
1.784563169807115202e+01 2.122078543345479602e+02
1.783971297034551995e+01 2.123078523226449761e+02
1.783379860302769515e+01 2.124078551077254247e+02
1.782788932308805130e+01 2.125078502960085984e+02
1.782198413499780543e+01 2.126078546369271578e+02
1.781608402000535563e+01 2.127078514165569914e+02
1.781018831049133411e+01 2.128078518470265408e+02
1.780429724687580872e+01 2.129078517559390207e+02
1.779841081404676828e+01 2.130078513006931757e+02
1.779252903014922893e+01 2.131078500737143600e+02
1.778665173419150847e+01 2.132078507154791396e+02
1.778077912348150136e+01 2.133078497713698880e+02
1.777491080828147929e+01 2.134078537840864556e+02
1.776904734373617245e+01 2.135078531960026282e+02
1.776318852154083672e+01 2.136078514554116339e+02
1.775733417626340582e+01 2.137078512889572153e+02
1.775148426412696523e+01 2.138078533515034678e+02
1.774563894753987370e+01 2.139078547713313583e+02
1.773979843709591364e+01 2.140078518426072662e+02
1.773396218077167319e+01 2.141078539203721220e+02
1.772813056537543730e+01 2.142078542836671318e+02
1.772230365209148317e+01 2.143078517810619417e+02
1.771648102671480274e+01 2.144078534255466195e+02
1.771066310833128910e+01 2.145078519239141031e+02
1.770484952611026586e+01 2.146078535533627871e+02
1.769904050468352708e+01 2.147078543560633932e+02
1.769323625119499255e+01 2.148078506634437019e+02
1.768743623062726300e+01 2.149078515966372720e+02
1.768164057510418630e+01 2.150078547893765801e+02
1.767584979334326789e+01 2.151078513625669473e+02
1.767006333004160012e+01 2.152078508048608967e+02
1.766428126969426771e+01 2.153078515649151825e+02
1.765850374402451450e+01 2.154078512689698925e+02
1.765273073597940723e+01 2.155078501141409504e+02
1.764696185248083538e+01 2.156078548193124789e+02
1.764119789327437715e+01 2.157078514224986918e+02
1.763543802497727953e+01 2.158078542840242733e+02
1.762968281949003568e+01 2.159078533819764800e+02
1.762393197088616148e+01 2.160078539339008898e+02
1.761818558208672769e+01 2.161078540560165493e+02
1.761244362497712856e+01 2.162078541418401016e+02
1.760670625058919470e+01 2.163078514626996309e+02
1.760097304174384902e+01 2.164078531965346883e+02
1.759524448700095789e+01 2.165078507269285240e+02
1.758952022411910932e+01 2.166078502797918190e+02
1.758380023742973108e+01 2.167078520389661094e+02
1.757808482952558649e+01 2.168078506184658636e+02
1.757237355707297155e+01 2.169078536819106091e+02
1.756666695406057954e+01 2.170078517842325994e+02
1.756096443458913470e+01 2.171078550981488604e+02
1.755526646248324951e+01 2.172078553979151536e+02
1.754957315346315383e+01 2.173078505489893644e+02
1.754388369740372866e+01 2.174078546903735116e+02
1.753819883797251933e+01 2.175078546620284783e+02
1.753251833840744212e+01 2.176078545298406652e+02
1.752684220422059980e+01 2.177078541024242213e+02
1.752117035038619974e+01 2.178078547848539586e+02
1.751550287020855734e+01 2.179078548389101684e+02
1.750983970820847091e+01 2.180078551494354713e+02
1.750418099784620551e+01 2.181078532640130447e+02
1.749852661399218690e+01 2.182078512978053766e+02
1.749287641090930734e+01 2.183078517374700596e+02
1.748723047652590878e+01 2.184078529371375055e+02
1.748158884019668236e+01 2.185078542847060419e+02
1.747595168498084206e+01 2.186078524387366429e+02
1.747031871417592441e+01 2.187078525680401526e+02
1.746468994093051919e+01 2.188078543503918922e+02
1.745906578257167396e+01 2.189078502738169902e+02
1.745344541390112525e+01 2.190078549205918819e+02
1.744782972416843947e+01 2.191078523771310813e+02
1.744221797529895923e+01 2.192078556920442054e+02
1.743661087117381570e+01 2.193078522283523455e+02
1.743100784598524555e+01 2.194078519801096832e+02
1.742540891606334341e+01 2.195078545704077442e+02
1.741981448955513656e+01 2.196078526151068786e+02
1.741422431272495075e+01 2.197078505521401723e+02
1.740863827054486990e+01 2.198078503490363005e+02
1.740305626460175503e+01 2.199078536816748510e+02
1.739747867663535530e+01 2.200078536192915521e+02
1.739190545668040500e+01 2.201078509590419969e+02
1.738633614019695273e+01 2.202078539476146091e+02
1.738077132801918978e+01 2.203078517051827987e+02
1.737521050905662889e+01 2.204078533227030618e+02
1.736965389891632583e+01 2.205078548355971009e+02
1.736410165555975027e+01 2.206078533060467350e+02
1.735855366015651668e+01 2.207078507783095063e+02
1.735300965565690845e+01 2.208078517970845382e+02
1.734746975710453398e+01 2.209078542016455344e+02
1.734193433811326557e+01 2.210078511520620168e+02
1.733640271477354133e+01 2.211078549136180698e+02
1.733087550336303551e+01 2.212078542566668773e+02
1.732535242722615010e+01 2.213078540912109418e+02
1.731983364183069085e+01 2.214078515094282409e+02
1.731431881851227317e+01 2.215078523770117442e+02
1.730880831200322589e+01 2.216078501713772084e+02
1.730330151189104626e+01 2.217078558844583824e+02
1.729779925558985099e+01 2.218078542186340485e+02
1.729230106964253721e+01 2.219078536811226741e+02
1.728680698568437180e+01 2.220078536080595200e+02
1.728131694774119964e+01 2.221078549301385010e+02
1.727583129471460666e+01 2.222078513802132420e+02
1.727034960050096757e+01 2.223078506332383029e+02
1.726487192301293661e+01 2.224078515478089457e+02
1.725939824655664268e+01 2.225078543245101059e+02
1.725392899061951368e+01 2.226078512050709151e+02
1.724846371809479706e+01 2.227078500872175653e+02
1.724300231338936840e+01 2.228078530031103810e+02
1.723754505523304559e+01 2.229078547626383227e+02
1.723209210084894139e+01 2.230078523893456293e+02
1.722664294210188984e+01 2.231078551132200971e+02
1.722119814619163236e+01 2.232078524353792943e+02
1.721575717976917019e+01 2.233078540606627769e+02
1.721032049808075470e+01 2.234078515329363199e+02
1.720488766208979214e+01 2.235078528380090575e+02
1.719945893063190212e+01 2.236078531256878250e+02
1.719403437674011670e+01 2.237078509578603871e+02
1.718861375779014367e+01 2.238078507177061454e+02
1.718319701998539273e+01 2.239078533142275091e+02
1.717778438317094825e+01 2.240078546017152235e+02
1.717237602477220548e+01 2.241078512068523878e+02
1.716697140690912349e+01 2.242078529866742542e+02
1.716157080975201055e+01 2.243078546744064283e+02
1.715617446261858348e+01 2.244078519304137842e+02
1.715078199309735396e+01 2.245078515651106557e+02
1.714539350599307710e+01 2.246078515497986814e+02
1.714000899098378383e+01 2.247078519887993480e+02
1.713462852016035498e+01 2.248078514546227780e+02
1.712925191037613715e+01 2.249078532647160671e+02
1.712387929860463842e+01 2.250078547858397258e+02
1.711851086974835212e+01 2.251078524839793431e+02
1.711314629801182008e+01 2.252078523381357797e+02
1.710778569034792440e+01 2.253078522694438277e+02
1.710242914737452935e+01 2.254078503113269107e+02
1.709707651106039705e+01 2.255078493254538614e+02
1.709172751230024900e+01 2.256078542595152783e+02
1.708638277094181390e+01 2.257078534376616972e+02
1.708104198769384752e+01 2.258078523656512573e+02
1.707570500773771016e+01 2.259078538576200117e+02
1.707037219702293029e+01 2.260078509674728764e+02
1.706504309803299790e+01 2.261078521868940925e+02
1.705971792544883670e+01 2.262078534049486791e+02
1.705439675655627596e+01 2.263078530816947591e+02
1.704907929664514654e+01 2.264078566713682790e+02
1.704376618861199688e+01 2.265078519916988284e+02
1.703845681827020897e+01 2.266078505097281948e+02
1.703315106526409295e+01 2.267078544151709423e+02
1.702784958598637033e+01 2.268078512478430753e+02
1.702255186467192516e+01 2.269078506447396819e+02
1.701725789785644949e+01 2.270078525905367997e+02
1.701196797191256849e+01 2.271078515890000631e+02
1.700668176200485249e+01 2.272078536946839051e+02
1.700139951285419926e+01 2.273078541935963699e+02
1.699612133272674086e+01 2.274078509441679614e+02
1.699084669996097574e+01 2.275078537459958739e+02
1.698557609122797984e+01 2.276078534791617471e+02
1.698030940354091811e+01 2.277078520071269736e+02
1.697504657414632234e+01 2.278078504342138615e+02
1.696978737320839414e+01 2.279078530463185359e+02
1.696453219838061344e+01 2.280078521973421175e+02
1.695928074152325138e+01 2.281078536640039829e+02
1.695403329756545929e+01 2.282078517434640048e+02
1.694878946210487314e+01 2.283078540577847377e+02
1.694354959804734762e+01 2.284078536024970560e+02
1.693831368966657536e+01 2.285078505866732428e+02
1.693308134731217507e+01 2.286078523692792146e+02
1.692785279028912981e+01 2.287078546796585101e+02
1.692262841802028461e+01 2.288078497860842333e+02
1.691740756050505112e+01 2.289078504256993938e+02
1.691219063419538315e+01 2.290078485401989781e+02
1.690697705575763621e+01 2.291078552327589080e+02
1.690176779991174527e+01 2.292078517198565919e+02
1.689656217431771168e+01 2.293078511991004405e+02
1.689136023161975686e+01 2.294078525799862973e+02
1.688616214843339591e+01 2.295078523831568873e+02
1.688096789524582775e+01 2.296078510890546909e+02
1.687577731034130935e+01 2.297078517275762692e+02
1.687059032221303312e+01 2.298078555977155588e+02
1.686540747887100977e+01 2.299078520452274006e+02
1.686022810725287258e+01 2.300078539697735778e+02
1.685505272034700397e+01 2.301078513837272226e+02
1.684988080073665984e+01 2.302078542014756692e+02
