# redshift      Om
1.739190545668040500e+01 9.996314327674650224e-01
1.738633614019695273e+01 9.996310978668230263e-01
1.738077132801918978e+01 9.996307628317376848e-01
1.737521050905662889e+01 9.996304276317536930e-01
1.736965389891632583e+01 9.996300922801523159e-01
1.736410165555975027e+01 9.996297567867917788e-01
1.735855366015651668e+01 9.996294211448243372e-01
1.735300965565690845e+01 9.996290853389891984e-01
1.734746975710453398e+01 9.996287493765313448e-01
1.734193433811326557e+01 9.996284132804393874e-01
1.733640271477354133e+01 9.996280770094861934e-01
1.733087550336303551e+01 9.996277406014266731e-01
1.732535242722615010e+01 9.996274040397521432e-01
1.731983364183069085e+01 9.996270673342543267e-01
1.731431881851227317e+01 9.996267304651805796e-01
1.730880831200322589e+01 9.996263934545021046e-01
1.730330151189104626e+01 9.996260562651630988e-01
1.729779925558985099e+01 9.996257189487423034e-01
1.729230106964253721e+01 9.996253814765572177e-01
1.728680698568437180e+01 9.996250438508442748e-01
1.728131694774119964e+01 9.996247060684573249e-01
1.727583129471460666e+01 9.996243681505742051e-01
1.727034960050096757e+01 9.996240300712629923e-01
1.726487192301293661e+01 9.996236918343732736e-01
1.725939824655664268e+01 9.996233534392183762e-01
1.725392899061951368e+01 9.996230149120609587e-01
1.724846371809479706e+01 9.996226762261726240e-01
1.724300231338936840e+01 9.996223373746579988e-01
1.723754505523304559e+01 9.996219983750962434e-01
1.723209210084894139e+01 9.996216592375897214e-01
1.722664294210188984e+01 9.996213199308339181e-01
1.722119814619163236e+01 9.996209804904517826e-01
1.721575717976917019e+01 9.996206408835028867e-01
1.721032049808075470e+01 9.996203011387043702e-01
1.720488766208979214e+01 9.996199612289250469e-01
1.719945893063190212e+01 9.996196211706452894e-01
1.719403437674011670e+01 9.996192809687628467e-01
1.718861375779014367e+01 9.996189406083673124e-01
1.718319701998539273e+01 9.996186000863546139e-01
1.717778438317094825e+01 9.996182594168376845e-01
1.717237602477220548e+01 9.996179186113226534e-01
1.716697140690912349e+01 9.996175776362131726e-01
1.716157080975201055e+01 9.996172365094567747e-01
1.715617446261858348e+01 9.996168952458673873e-01
1.715078199309735396e+01 9.996165538222071545e-01
1.714539350599307710e+01 9.996162122453974286e-01
1.714000899098378383e+01 9.996158705150794965e-01
1.713462852016035498e+01 9.996155286361332326e-01
1.712925191037613715e+01 9.996151865972138228e-01
1.712387929860463842e+01 9.996148444073233996e-01
1.711851086974835212e+01 9.996145020785643931e-01
1.711314629801182008e+01 9.996141595904729504e-01
1.710778569034792440e+01 9.996138169501630477e-01
1.710242914737452935e+01 9.996134741643786237e-01
1.709707651106039705e+01 9.996131312233111910e-01
1.709172751230024900e+01 9.996127881099780010e-01
1.708638277094181390e+01 9.996124448644383431e-01
1.708104198769384752e+01 9.996121014678076566e-01
1.707570500773771016e+01 9.996117579104167872e-01
1.707037219702293029e+01 9.996114142161338645e-01
1.706504309803299790e+01 9.996110703557736787e-01
1.705971792544883670e+01 9.996107263434624857e-01
1.705439675655627596e+01 9.996103821845011561e-01
1.704907929664514654e+01 9.996100378601137093e-01
1.704376618861199688e+01 9.996096934122553623e-01
1.703845681827020897e+01 9.996093488014377026e-01
1.703315106526409295e+01 9.996090040200954485e-01
1.702784958598637033e+01 9.996086591111915665e-01
1.702255186467192516e+01 9.996083140414959711e-01
1.701725789785644949e+01 9.996079688110510730e-01
1.701196797191256849e+01 9.996076234388314719e-01
1.700668176200485249e+01 9.996072779039264500e-01
